title,source,section,published,summary,url
12-Factor Agents,GitHub: owainlewis/awesome-artificial-intelligence,LLM application engineering,2026-08-15 00:00,Practical principles for building controllable LLM applications around deterministic software.,https://github.com/humanlayer/12-factor-agents
OWASP Top 10 for LLM Applications,GitHub: owainlewis/awesome-artificial-intelligence,LLM application engineering,2026-08-15 00:00,Risks and mitigations for developing and deploying generative AI applications.,https://genai.owasp.org/llm-top-10/
Model Context Protocol,GitHub: owainlewis/awesome-artificial-intelligence,Protocols and interoperability,2026-08-15 00:00,"The open specification for connecting AI applications to external tools, data sources, prompts, and interactive apps.",https://modelcontextprotocol.io/specification/2026-07-28
Agent2Agent Protocol,GitHub: owainlewis/awesome-artificial-intelligence,Protocols and interoperability,2026-08-15 00:00,"A vendor-neutral specification for agent discovery, task delegation, streaming, asynchronous updates, and cross-platform communication.",https://a2a-protocol.org/latest/specification/
Pydantic AI,GitHub: owainlewis/awesome-artificial-intelligence,Agent frameworks,2026-08-15 00:00,Typed agent development built around Pydantic.,https://ai.pydantic.dev/
LangGraph,GitHub: owainlewis/awesome-artificial-intelligence,Agent frameworks,2026-08-15 00:00,"Low-level orchestration for long-running, stateful agents.",https://docs.langchain.com/oss/python/langgraph/overview
OpenAI Agents SDK,GitHub: owainlewis/awesome-artificial-intelligence,Agent frameworks,2026-08-15 00:00,"A small SDK for tools, handoffs, guardrails, tracing, and agent orchestration.",https://openai.github.io/openai-agents-python/
Google Agent Development Kit,GitHub: owainlewis/awesome-artificial-intelligence,Agent frameworks,2026-08-15 00:00,Google's framework for developing and evaluating agents.,https://google.github.io/adk-docs/
Microsoft Agent Framework,GitHub: owainlewis/awesome-artificial-intelligence,Agent frameworks,2026-08-15 00:00,Microsoft's successor to AutoGen and Semantic Kernel for agents and graph-based workflows.,https://learn.microsoft.com/en-us/agent-framework/overview/
Effective Harnesses for Long-Running Agents,GitHub: owainlewis/awesome-artificial-intelligence,Durable and asynchronous agents,2026-08-15 00:00,Patterns for agents that make progress across multiple context windows and recover from failure.,https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents
Running Agents,GitHub: owainlewis/awesome-artificial-intelligence,Durable and asynchronous agents,2026-08-15 00:00,"Lifecycle, session, exception, and durable-execution patterns in the OpenAI Agents SDK.",https://openai.github.io/openai-agents-python/running_agents/
Human-in-the-Loop,GitHub: owainlewis/awesome-artificial-intelligence,Durable and asynchronous agents,2026-08-15 00:00,"Pause, inspect, approve, reject, and resume tool calls without losing agent state.",https://openai.github.io/openai-agents-python/human_in_the_loop/
Gemini and Temporal Durable Agent,GitHub: owainlewis/awesome-artificial-intelligence,Durable and asynchronous agents,2026-08-15 00:00,"A concrete implementation of durable execution, retries, and human approval for an agent workflow.",https://ai.google.dev/gemini-api/docs/temporal-example
LlamaIndex,GitHub: owainlewis/awesome-artificial-intelligence,Retrieval and data,2026-08-15 00:00,"Data ingestion, indexing, retrieval, and agent workflows.",https://docs.llamaindex.ai/
Haystack,GitHub: owainlewis/awesome-artificial-intelligence,Retrieval and data,2026-08-15 00:00,Modular pipelines for retrieval and generative AI applications.,https://docs.haystack.deepset.ai/
Docling,GitHub: owainlewis/awesome-artificial-intelligence,Retrieval and data,2026-08-15 00:00,Document parsing and conversion for AI applications.,https://github.com/docling-project/docling
Demystifying Evals for AI Agents,GitHub: owainlewis/awesome-artificial-intelligence,Evals and reliability,2026-08-15 00:00,"A practical method for building task suites, graders, transcripts, and evaluation harnesses.",https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents
OpenAI Evals,GitHub: owainlewis/awesome-artificial-intelligence,Evals and reliability,2026-08-15 00:00,An open-source framework and registry for evaluating language models and systems.,https://github.com/openai/evals
Promptfoo,GitHub: owainlewis/awesome-artificial-intelligence,Evals and reliability,2026-08-15 00:00,"Test cases, assertions, model comparisons, and red-team checks for LLM applications.",https://www.promptfoo.dev/docs/
Ragas,GitHub: owainlewis/awesome-artificial-intelligence,Evals and reliability,2026-08-15 00:00,Evaluation and experimentation for retrieval and generative AI applications.,https://docs.ragas.io/
Langfuse,GitHub: owainlewis/awesome-artificial-intelligence,Deployment and observability,2026-08-15 00:00,"Tracing, evaluation, prompt management, and metrics for LLM applications.",https://langfuse.com/docs
vLLM,GitHub: owainlewis/awesome-artificial-intelligence,Deployment and observability,2026-08-15 00:00,An inference and serving engine for language models.,https://docs.vllm.ai/
LiteLLM,GitHub: owainlewis/awesome-artificial-intelligence,Deployment and observability,2026-08-15 00:00,A model gateway and unified interface for multiple model providers.,https://docs.litellm.ai/
Neo,GitHub: owainlewis/awesome-artificial-intelligence,Coding agents,2026-08-15 00:00,"An open-source, workflow-first terminal coding agent with subagents, skills, sandboxed tools, and multiple model providers.",https://github.com/owainlewis/neo
Claude Code,GitHub: owainlewis/awesome-artificial-intelligence,Coding agents,2026-08-15 00:00,"A terminal agent with hooks, subagents, skills, and repository-level instructions.",https://code.claude.com/
Codex CLI,GitHub: owainlewis/awesome-artificial-intelligence,Coding agents,2026-08-15 00:00,An open-source terminal agent with sandbox and approval controls.,https://github.com/openai/codex
Gemini CLI,GitHub: owainlewis/awesome-artificial-intelligence,Coding agents,2026-08-15 00:00,An open-source terminal agent built around Gemini and extensible tools.,https://github.com/google-gemini/gemini-cli
Cursor CLI,GitHub: owainlewis/awesome-artificial-intelligence,Coding agents,2026-08-15 00:00,A terminal agent connected to Cursor's editor and cloud workflows.,https://cursor.com/cli
GitHub Copilot coding agent,GitHub: owainlewis/awesome-artificial-intelligence,Coding agents,2026-08-15 00:00,An asynchronous agent that works from GitHub issues and opens pull requests.,https://docs.github.com/en/copilot/concepts/agents/coding-agent/about-coding-agent
Aider,GitHub: owainlewis/awesome-artificial-intelligence,Coding agents,2026-08-15 00:00,An open-source pair programmer with Git integration and broad model support.,https://aider.chat/
OpenCode,GitHub: owainlewis/awesome-artificial-intelligence,Coding agents,2026-08-15 00:00,"An open-source, provider-independent terminal agent with a client-server architecture.",https://opencode.ai/
OpenHands,GitHub: owainlewis/awesome-artificial-intelligence,Coding agents,2026-08-15 00:00,An open-source platform for running software development agents locally or in the cloud.,https://docs.all-hands.dev/
Cline,GitHub: owainlewis/awesome-artificial-intelligence,Coding agents,2026-08-15 00:00,"An open-source coding agent available as an editor extension, CLI, and SDK.",https://github.com/cline/cline
Continue,GitHub: owainlewis/awesome-artificial-intelligence,Coding agents,2026-08-15 00:00,Open-source coding agents for IDE and CI workflows with source-controlled configuration.,https://www.continue.dev/
Blueprint,GitHub: owainlewis/awesome-artificial-intelligence,Agent skills and workflows,2026-08-15 00:00,"An open-source set of focused agent skills for designing, implementing, testing, reviewing, and shipping software changes.",https://github.com/owainlewis/blueprint/tree/main/skills
Harness Engineering,GitHub: owainlewis/awesome-artificial-intelligence,Software factories and agent orchestration,2026-08-15 00:00,"OpenAI's field report on building software with coding agents, repository constraints, automated checks, and human steering.",https://openai.com/index/harness-engineering/
Codex Orchestration with Symphony,GitHub: owainlewis/awesome-artificial-intelligence,Software factories and agent orchestration,2026-08-15 00:00,"A reference architecture that turns project work into isolated, observable coding-agent runs.",https://openai.com/index/open-source-codex-orchestration-symphony/
How We Built Our Multi-Agent Research System,GitHub: owainlewis/awesome-artificial-intelligence,Software factories and agent orchestration,2026-08-15 00:00,"Production lessons on orchestrator-worker agents, parallel search, evaluation, and operational reliability.",https://www.anthropic.com/engineering/multi-agent-research-system
